time[s],setpoint[rad],velocity[rad]
 61.670000,4052.66870,4052.70093
 61.672500,4052.66870,4052.69507
 61.675000,4052.66870,4052.70776
 61.677500,4052.66870,4052.66968
 61.680000,4052.66870,4052.69849
 61.682500,4052.66870,4052.67139
 61.685000,4052.66870,4052.64429
 61.687500,4052.66870,4052.64429
 61.690000,4052.66870,4052.68896
 61.692500,4052.66870,4052.66553
 61.697500,4052.66870,4052.67236
 61.697500,4052.66870,4052.68652
 61.700000,4052.66870,4052.68652
 61.702500,4052.66870,4052.68652
 61.705000,4052.66870,4052.68652
 61.707500,4052.66870,4052.67041
 61.710000,4052.66870,4052.67041
 61.712500,4052.66870,4052.67041
 61.715000,4052.66870,4052.66309
 61.717500,4052.66870,4052.67480
 61.720000,4052.66870,4052.67480
 61.722500,4052.66870,4052.66772
 61.725000,4052.66870,4052.66357
 61.727500,4052.66870,4052.67358
 61.730000,4052.66870,4052.67358
 61.732500,4052.66870,4052.67212
 61.735000,4052.66870,4052.65479
 61.737500,4052.66870,4052.67139
 61.742500,4052.66870,4052.58911
 61.742500,4052.66870,4052.65356
 61.745000,4052.66870,4052.65356
 61.747500,4052.66870,4052.67017
 61.750000,4052.66870,4052.68823
 61.752500,4052.66870,4052.68823
 61.755000,4052.66870,4052.65918
 61.757500,4052.66870,4052.64233
 61.760000,4052.66870,4052.67090
 61.762500,4052.66870,4052.66504
 61.765000,4052.66870,4052.67603
 61.767500,4052.66870,4052.67603
 61.770000,4052.66870,4052.67480
 61.772500,4052.66870,4052.66895
 61.775000,4052.66870,4052.66895
 61.777500,4052.66870,4052.66211
 61.780000,4052.66870,4052.67383
 61.782500,4052.66870,4052.67383
 61.785000,4052.66870,4052.67261
 61.787500,4052.66870,4052.67310
 61.790000,4052.66870,4052.67310
 61.792500,4052.66870,4052.64673
 61.795000,4052.66870,4052.69287
 61.797500,4052.66870,4052.67065
 61.800000,5454.28467,4052.66357
 61.802500,5454.28467,4052.66357
 61.805000,5454.28467,4824.49463
 61.807500,5454.28467,5171.30322
 61.810000,5454.28467,5171.30322
 61.812500,5454.28467,5397.16992
 61.817500,5454.28467,5397.16992
 61.817500,5454.28467,5397.16992
 61.820000,5454.28467,5397.16992
 61.822500,5454.28467,5449.10547
 61.825000,5454.28467,5451.97021
 61.827500,5454.28467,5453.23730
 61.830000,5454.28467,5454.09619
 61.832500,5454.28467,5454.09619
 61.835000,5454.28467,5454.18701
 61.837500,5454.28467,5454.18701
 61.840000,5454.28467,5454.28906
 61.842500,5454.28467,5454.26270
 61.845000,5454.28467,5454.26270
 61.847500,5454.28467,5454.28516
 61.850000,5454.28467,5454.28516
 61.852500,5454.28467,5454.27930
 61.855000,5454.28467,5454.28613
 61.857500,5454.28467,5454.28613
 61.860000,5454.28467,5454.28760
 61.862500,5454.28467,5454.28271
 61.865000,5454.28467,5454.28418
 61.867500,5454.28467,5454.25293
 61.870000,5454.28467,5454.25293
 61.872500,5454.28467,5454.29004
 61.875000,5454.28467,5454.29004
 61.877500,5454.28467,5454.28027
 61.880000,5454.28467,5454.28027
 61.882500,5454.28467,5454.28027
 61.885000,5454.28467,5454.28027
 61.887500,5454.28467,5454.28516
 61.890000,5454.28467,5454.28516
 61.892500,5454.28467,5454.28369
 61.895000,5454.28467,5454.30078
 61.897500,5454.28467,5454.29004
 61.900000,5454.28467,5454.28076
 61.902500,5454.28467,5454.29297
 61.905000,5454.28467,5454.28369
 61.907500,5454.28467,5454.29150
 61.910000,5454.28467,5454.28564
 61.912500,5454.28467,5454.28564
 61.915000,5454.28467,5454.28369
 61.917500,5454.28467,5454.25684
 61.920000,5454.28467,5454.25684
 61.922500,5454.28467,5454.29004
 61.925000,5454.28467,5454.28076
 61.927500,5454.28467,5454.28076
 61.930000,5454.28467,5454.28369
 61.932500,5454.28467,5454.28369
 61.935000,5454.28467,5454.29102
 61.937500,5454.28467,5454.28027
 61.940000,5454.28467,5454.28027
 61.942500,5454.28467,5454.28369
 61.945000,5454.28467,5454.30029
 61.947500,5454.28467,5454.29053
 61.950000,5454.28467,5454.29053
 61.952500,5454.28467,5454.28076
 61.955000,5454.28467,5454.20654
