time[s],setpoint[kRPM],velocity[kRPM]
4.514619,5684.85,5638.43
4.519849,5684.85,5638.43
4.525245,5684.85,5638.57
4.532287,5684.85,5638.71
4.537529,5684.85,5639.0
4.542737,5684.85,5639.29
4.547879,5684.85,5639.43
4.553023,5684.85,5639.71
4.558203,5684.85,5640.0
4.563383,5684.85,5640.43
4.568631,5684.85,5640.71
4.573875,5684.85,5641.0
4.579068,5684.85,5641.29
4.584235,5684.85,5641.57
4.589468,5684.85,5642.0
4.594715,5684.85,5642.14
4.599992,5684.85,5642.57
4.605283,5684.85,5642.71
4.610547,5684.85,5643.0
4.615779,5684.85,5643.14
4.620942,5684.85,5643.57
4.626346,5684.85,5643.71
4.631562,5684.85,5644.0
4.636776,5684.85,5644.14
4.642018,5684.85,5644.43
4.647201,5684.85,5644.71
4.652382,5684.85,5644.71
4.657563,5684.85,5645.14
4.662975,5684.85,5645.29
4.668269,5684.85,5645.57
4.673459,5684.85,5645.71
4.678648,5684.85,5645.86
4.683819,5684.85,5646.14
4.688985,5684.85,5646.29
4.694208,5684.85,5646.57
4.699492,5684.85,5646.71
4.704815,5684.85,5647.0
4.710106,5684.85,5647.0
4.715318,5684.85,5647.29
4.720516,5684.85,5647.43
4.725734,5684.85,5647.71
4.730954,5684.85,5647.86
4.736202,5684.85,5648.0
4.741451,5684.85,5648.29
4.746867,5684.85,5648.43
4.752149,5684.85,5648.57
4.757344,5684.85,5648.71
4.762592,5684.85,5649.0
4.768005,5684.85,5649.14
4.773335,5684.85,5649.29
4.778654,5684.85,5649.43
4.783868,5684.85,5649.57
4.789079,5684.85,5649.86
4.794246,5684.85,5650.0
4.799444,5684.85,5650.14
4.804639,5684.85,5650.29
4.809833,5684.85,5650.43
4.815237,5684.85,5650.71
4.820653,5684.85,5650.86
4.82591,5684.85,5651.14
4.831119,5684.85,5651.14
4.836353,5684.85,5651.29
4.841637,5684.85,5651.57
4.846826,5684.85,5651.57
4.852079,5684.85,5651.86
4.857303,5684.85,5651.86
4.862578,5684.85,5652.14
4.867867,5684.85,5652.29
4.873059,5684.85,5652.57
4.878357,5684.85,5652.57
4.883568,5684.85,5652.86
